model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Weighted GRU,0.758710594927708,0.5762071641822301,0.6097207178285585,0.5408772000578843,0.7703665982841669,0.758710594927708,0.7346609177125762
Weighted LSTM,0.7525479971557241,0.5810359252292887,0.6090712779122965,0.5701908481316044,0.7699442704090154,0.7525479971557241,0.7482803834386514
