actual_attack_type,attack_intensity,detection_delay_mean,detection_delay_std,detection_delay_ci95,records,detection_delay_ms_mean,detection_delay_ms_ci95,distance_during_detection_m,framework_overhead_ms,framework_overhead_pct_of_interval,fc_cycles_during_detection,mavlink_msgs_during_detection
combined,high,15.232407407407408,7.933909044280007,0.4658217592592599,1080,15232.407407407407,465.8217592592599,228.48611111111111,11.5,1.15,6092.962962962963,152.32407407407408
combined,low,33.74295190713101,16.068012450893395,1.220812603648426,603,33742.951907131006,1220.812603648426,506.14427860696514,11.5,1.15,13497.180762852402,337.42951907131004
combined,medium,20.303974221267456,10.817049799981293,0.6746106337271769,931,20303.974221267457,674.610633727177,304.5596133190118,11.5,1.15,8121.589688506983,203.03974221267458
jamming,high,14.98977853492334,7.870466652168789,0.3597458830210112,1761,14989.77853492334,359.7458830210112,224.8466780238501,11.5,1.15,5995.911413969336,149.8977853492334
jamming,low,32.874381800197824,16.600592462841032,1.013600395647872,1011,32874.38180019782,1013.6003956478721,493.11572700296733,11.5,1.15,13149.752720079128,328.74381800197824
jamming,medium,21.270783847981,10.858803431992678,0.4864162707838471,1684,21270.783847981,486.4162707838471,319.061757719715,11.5,1.15,8508.3135391924,212.70783847981002
jamming_spoofing,high,15.468554968795008,7.93246488855086,0.3256240998559772,2083,15468.554968795008,325.6240998559772,232.0283245319251,11.5,1.15,6187.421987518003,154.68554968795007
jamming_spoofing,low,32.10847107438016,16.279252454345187,1.0136880165289224,968,32108.471074380162,1013.6880165289224,481.6270661157024,11.5,1.15,12843.388429752065,321.0847107438016
jamming_spoofing,medium,21.189044038668097,10.583143694113886,0.7224624060150386,931,21189.044038668097,722.4624060150386,317.83566058002145,11.5,1.15,8475.61761546724,211.89044038668098
jamming_tampering,high,15.346547314578006,7.969979292344216,0.4005994245524293,1564,15346.547314578005,400.5994245524293,230.19820971867009,11.5,1.15,6138.618925831202,153.46547314578004
jamming_tampering,low,32.24305555555556,16.39395490204383,1.1405208333333317,720,32243.05555555556,1140.5208333333317,483.64583333333337,11.5,1.15,12897.222222222223,322.4305555555556
jamming_tampering,medium,20.846212700841622,10.729193802793167,0.5463848508033671,1307,20846.21270084162,546.384850803367,312.6931905126243,11.5,1.15,8338.485080336648,208.46212700841622
spoofing,high,15.06341463414634,7.849475859387232,0.3791082317073169,1640,15063.41463414634,379.1082317073169,225.9512195121951,11.5,1.15,6025.365853658536,150.6341463414634
spoofing,low,33.57866184448463,16.591399992909295,1.3129294755877012,553,33578.66184448463,1312.9294755877013,503.67992766726945,11.5,1.15,13431.464737793853,335.78661844484634
spoofing,medium,21.47953216374269,10.524346144508614,0.6920760233918131,855,21479.53216374269,692.0760233918131,322.1929824561403,11.5,1.15,8591.812865497075,214.7953216374269
spoofing_tampering,high,15.591958302308266,8.012108908757837,0.4140543559195828,1343,15591.958302308265,414.0543559195828,233.879374534624,11.5,1.15,6236.783320923306,155.91958302308265
spoofing_tampering,low,31.767052767052768,16.925259144406734,1.196991634491635,777,31767.052767052766,1196.9916344916348,476.50579150579154,11.5,1.15,12706.821106821106,317.6705276705277
spoofing_tampering,medium,21.08048780487805,10.746904704967667,0.7299542682926834,820,21080.487804878052,729.9542682926834,316.2073170731708,11.5,1.15,8432.195121951221,210.80487804878052
tampering,high,15.479651162790695,7.969173448966207,0.3712936046511625,1720,15479.651162790695,371.2936046511625,232.19476744186042,11.5,1.15,6191.860465116278,154.79651162790694
tampering,low,32.25490196078432,16.716955273549047,1.4366176470588226,510,32254.901960784322,1436.6176470588225,483.82352941176487,11.5,1.15,12901.96078431373,322.5490196078432
tampering,medium,20.87302725968436,10.369933840265364,0.5556492109038746,1394,20873.02725968436,555.6492109038746,313.0954088952654,11.5,1.15,8349.210903873744,208.7302725968436
