model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Weighted LSTM v4,0.7428909952606635,0.5754146749091659,0.6258946150667101,0.5738000357710724,0.7695704063367678,0.7428909952606635,0.7393463344759903
Weighted GRU v4,0.7535545023696683,0.5954819563157185,0.635092880985365,0.600741667988951,0.7801661560474842,0.7535545023696683,0.7579406222477411
