model,class,precision,recall,f1_score,support
Binary LSTM,normal,0.9802994483845547,0.9374529012810852,0.9583975346687211,1327.0
Binary LSTM,attack,0.934283452098179,0.979253112033195,0.9562398703403565,1205.0
Binary GRU,normal,0.9818325434439179,0.9366993217784476,0.958735055919784,1327.0
Binary GRU,attack,0.933649289099526,0.9809128630705394,0.9566976932416026,1205.0
