model,accuracy,precision_macro,recall_macro,f1_macro
Logistic Regression,0.3749,0.7234493581457554,0.37525480443130826,0.3702292195373212
Linear SVM,0.3680333333333333,0.6212184635183595,0.36830106446683636,0.36695789134921764
Random Forest,0.3793,0.4395720413704877,0.3794996007561607,0.37744043136751665
Gradient Boosting,0.3819666666666667,0.4427406090156424,0.38215560889332034,0.37992547331188664
