model,accuracy,precision_macro,recall_macro,f1_macro
Logistic Regression,0.8186600221483943,0.8185595923903138,0.8185595567867037,0.8185594697705424
Linear SVM,0.8194905869324474,0.8195191110259603,0.81939096485481,0.8194490011861186
Random Forest,0.897563676633444,0.9042796064239231,0.8975069252077563,0.8958152958152958
Gradient Boosting,0.8986710963455149,0.9049967320261437,0.8986149584487535,0.8970506249963476
