model,accuracy,precision_macro,recall_macro,f1_macro
Logistic Regression,0.9548266666666667,0.7894308825380907,0.7997661356809547,0.7944582930261058
Linear SVM,0.9544,0.7894249625978439,0.7979081414315149,0.7935218496007035
Random Forest,0.9570933333333334,0.9876941001703974,0.8099225644170505,0.813801713821468
Gradient Boosting,0.9585333333333333,0.9766715391296257,0.8173122418279162,0.8271262108874142
