model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
GRU,0.95,0.9356543921147779,0.9709015638604246,0.951143920901393,0.9539463839250042,0.95,0.9500827745284356
LSTM,0.925,0.9133287959408491,0.9567326367959279,0.9309604933855091,0.932310373934685,0.925,0.9251260519291811
