,combined,jamming,jamming_spoofing,jamming_tampering,normal,spoofing,spoofing_tampering,tampering
combined,396,0,0,0,0,0,0,0
jamming,0,702,0,0,0,0,0,0
jamming_spoofing,0,0,599,0,0,0,0,0
jamming_tampering,0,0,0,553,0,0,0,0
normal,9,8,6,0,8782,23,10,1
spoofing,0,0,0,0,1,433,0,0
spoofing_tampering,0,0,0,0,0,0,384,0
tampering,0,0,0,0,0,0,0,525
